date,method,asset,weight
2023-12-04,max_sharpe_sentiment_shock,equity_WFC,2.3368263434609905e-16
2023-12-04,max_sharpe_sentiment_shock,equity_NKE,2.2057099987948954e-16
2023-12-04,min_variance,equity_KO,0.19081699614980416
2023-12-04,min_variance,equity_WMT,0.15169374791846213
2023-12-04,min_variance,equity_V,0.09627702386432645
2023-12-04,min_variance,equity_MRK,0.09601246031816377
2023-12-04,min_variance,equity_ABBV,0.09210049277380425
2023-12-04,min_variance,equity_O,0.07595220067650633
2023-12-04,min_variance,equity_TMUS,0.06527183561058143
2023-12-04,min_variance,equity_EA,0.04146281335732221
2023-12-04,min_variance,equity_T,0.034238129443857554
2023-12-04,min_variance,equity_CVX,0.031494789845171164
2023-12-04,min_variance,equity_OXY,0.020653181845025365
2023-12-04,min_variance,equity_NVDA,0.01620246883184388
2023-12-04,min_variance,equity_ABT,0.014208931358765421
2023-12-04,min_variance,crypto_BTC-USD,0.014128081330705207
2023-12-04,min_variance,equity_DUK,0.013486566826339684
2023-12-04,min_variance,crypto_TRX-USD,0.012907075844977871
2023-12-04,min_variance,equity_NEM,0.009245248111216976
2023-12-04,min_variance,equity_AMGN,0.008321245664920606
2023-12-04,min_variance,equity_INTC,0.007080157074252962
2023-12-04,min_variance,equity_AMD,0.005832957314778038
2023-12-04,min_variance,equity_GE,0.001794332963521959
2023-12-04,min_variance,equity_DD,0.0008192628756525995
2023-12-04,min_variance,equity_XOM,6.579887117032819e-18
2023-12-04,min_variance,equity_SO,4.802134842626001e-18
2023-12-04,min_variance,equity_BA,3.7964620858820124e-18
2023-12-04,min_variance,crypto_BCH-USD,3.5616798549292135e-18
2023-12-04,min_variance,crypto_XLM-USD,3.389851237658054e-18
2023-12-04,min_variance,equity_CMCSA,3.37883789745672e-18
2023-12-04,min_variance,equity_USB,3.3765553798722243e-18
2023-12-04,min_variance,equity_SBUX,2.635969910334121e-18
2023-12-04,min_variance,equity_NKE,2.5784208503044387e-18
2023-12-04,min_variance,crypto_ADA-USD,2.518265569943056e-18
2023-12-04,min_variance,equity_MMM,2.06536760779047e-18
2023-12-04,min_variance,equity_TTWO,2.0613577828876183e-18
2023-12-04,min_variance,equity_CAT,1.981864070139871e-18
2023-12-04,min_variance,equity_UPS,1.816338319732228e-18
2023-12-04,min_variance,equity_D,7.514302772185025e-19
2023-12-04,min_variance,equity_GS,7.209665275201989e-19
2023-12-04,min_variance,crypto_ETH-USD,5.784550214524468e-19
