date,method,equity_ABBV,equity_ABT,equity_ADBE,equity_AEP,equity_AMD,equity_AMGN,equity_AMT,equity_BA,equity_CAT,equity_CCI,equity_CMCSA,equity_COP,equity_CVX,equity_D,equity_DD,equity_DIS,equity_DOW,equity_DUK,equity_EA,equity_GE,equity_GILD,equity_GS,equity_INTC,equity_KO,equity_MMM,equity_MRK,equity_MS,equity_NEE,equity_NEM,equity_NKE,equity_NUE,equity_NVDA,equity_O,equity_OXY,equity_PLD,equity_PSA,equity_QCOM,equity_SBUX,equity_SHW,equity_SLB,equity_SO,equity_T,equity_TMUS,equity_TTWO,equity_UPS,equity_USB,equity_V,equity_WFC,equity_WMT,equity_XOM,crypto_ADA-USD,crypto_BCH-USD,crypto_BTC-USD,crypto_EOS-USD,crypto_ETC-USD,crypto_ETH-USD,crypto_LTC-USD,crypto_TRX-USD,crypto_XLM-USD,crypto_XRP-USD
2021-05-05,max_sharpe_sentiment_shock,0.11977399580812897,2.5614453071855977e-14,1.604247736619492e-14,2.0001605261286438e-14,1.7822615253876918e-14,1.2315658382137498e-14,1.6173489167861757e-15,5.907665739085371e-15,0.14024545370933858,4.082209656332094e-16,3.279809469909357e-14,3.0838388350853688e-15,3.3140343390040883e-15,1.6762184790388128e-14,1.0693797709265947e-14,3.1538393384251676e-14,1.8909738832158273e-14,3.9293633667267064e-14,4.2034698319084617e-14,0.002631042831197598,1.5170730561062345e-15,3.444561726037059e-14,3.5095481060910214e-15,4.211172900105571e-15,3.3452144734384895e-14,9.292699302081928e-16,0.08256874500914636,8.617455165850686e-15,1.185474725126222e-15,2.6275576221275838e-14,2.6304835387780244e-14,0.013106587362882529,1.4484039945047094e-14,3.375791812805359e-15,6.280348843647788e-16,0.1595030749294263,5.753688660450443e-16,3.3970946945865985e-14,0.08869656126881621,8.994320536554064e-16,1.9411787727618932e-14,2.2662302321657678e-14,1.1523741991152703e-14,3.915715611115999e-14,0.19883600595147718,1.452401107587316e-14,3.881077673898882e-15,6.979906238718371e-15,2.923922185900166e-14,2.0833748713386387e-15,0.036522989183334055,2.1395212438655304e-14,0.12397756612044716,2.0949483650528646e-14,0.018821305949183187,5.0780748198534835e-16,1.289703701302858e-14,0.015316671875916886,5.201055129177567e-15,2.029091356978066e-15
2021-06-04,max_sharpe_sentiment_shock,9.9095572835047e-15,6.936761419699049e-15,2.7289960512555257e-15,3.0059345363016385e-15,7.262273661082367e-15,5.401546135062857e-15,7.664819305359821e-16,5.378594827615525e-15,0.13285883449832087,3.7052808396049455e-15,3.721257221374495e-15,1.925275860675868e-15,3.053215418163908e-15,1.0695000173893632e-15,2.199355015907016e-15,5.565691439433746e-15,1.1257890711480059e-15,6.2134675222645365e-15,8.905323993793523e-15,0.0422633044370731,2.273786531728671e-15,7.018075637920991e-15,3.2056458718344068e-15,3.4501324325819093e-15,6.9525803792520894e-15,2.009959992060469e-15,0.12490010466443374,1.8640824421168468e-15,7.467631859374609e-15,2.575754221223316e-15,0.06718447074554267,0.04395934874201962,3.015989598343427e-16,1.2389891945605603e-15,1.7496073133339973e-15,0.2253943700947167,1.86326027024241e-15,3.868297343845989e-15,7.967706732409509e-15,7.0766829731295926e-15,3.657893413947965e-15,1.0308849988553295e-15,6.240892726788082e-15,0.07947114082364509,0.18315345914690603,3.0743973683295753e-15,7.370459537796471e-16,3.123059564123405e-15,8.828194959317651e-15,1.4514700043296906e-15,0.022891273532141022,1.5990004610862604e-14,0.03055311789394065,1.088236073483818e-14,0.03041020017477483,0.016181209313055875,1.0616977404704935e-14,0.000779165933218725,3.5458028166682085e-15,2.1366080133610963e-15
2021-07-06,max_sharpe_sentiment_shock,4.244630644601453e-15,0.0019309009389439093,1.9308022235990994e-14,6.158835520197932e-15,0.03245671842847301,4.368105354067906e-14,4.1172177585709326e-14,1.0274145440693018e-13,0.00037867940950067104,1.0490785804641967e-14,1.455948381865187e-15,4.301332166933912e-14,5.1908062750224194e-14,3.246908052635223e-14,4.398259804321938e-14,0.0027114219814425543,4.076605967083041e-14,6.861442140487137e-15,2.3630392838048404e-14,0.07763467318388564,2.90778119477525e-14,0.11813659915324765,6.80532465474079e-14,1.0284954642186815e-14,2.967446898812802e-15,9.372286105115964e-15,0.04213328667515823,1.021329375705839e-14,4.836791858710701e-14,0.08341663089823093,0.08449169804661255,0.06073426842397499,5.2851290154614274e-14,1.1129009855667883e-14,3.280109863955735e-14,0.37042883782605074,3.539438401389837e-14,4.253256673120437e-15,2.323436729661133e-15,2.6781769551637902e-15,2.479795913354083e-15,9.031164131807496e-15,7.37937301166108e-15,9.755556595361349e-15,0.07819900702279597,5.25137065818369e-15,4.760546669959013e-14,3.425521612816936e-15,7.523814271731298e-15,1.1949529909517036e-14,0.004330085879210712,1.2556597175935941e-13,0.013777731961494443,8.072703491284956e-14,0.020296307222743275,2.0933423511701405e-14,7.772849233410333e-14,0.008943152947016546,1.4446959672111485e-14,2.5844234613647768e-15
2021-08-04,max_sharpe_sentiment_shock,0.003346073718052595,1.3872059637831511e-14,1.511154979796405e-14,7.31094118451094e-16,0.001026125106480753,4.389556722244537e-15,2.99985885756458e-16,2.8232120417837502e-14,2.191790712703733e-15,9.027808117019749e-15,9.40771837759225e-16,1.1108381383444467e-14,1.5025198819177994e-14,8.052691673333262e-15,1.3020166812291441e-14,3.0085168155299863e-15,1.0419814474474566e-14,0.029905934326516143,2.2928541735187466e-15,0.08047603326481184,1.7303118896952733e-15,0.121353417438363,8.046030637960803e-15,9.572396287851493e-16,3.939526344856397e-15,3.2010845076869477e-15,0.01593223025061879,1.2858591471965358e-15,1.6646031006222212e-14,0.12969877188002882,0.09900795647285306,0.07044430380715898,9.599538000303763e-15,4.305946835966212e-15,3.739249502927651e-15,0.38637097042550006,2.708412672466634e-15,0.019225917699862687,9.408406997282246e-15,1.4652072132670332e-14,9.875218300636216e-16,3.979562272375525e-15,7.283115980769197e-15,1.4107747514793995e-15,1.1272185970244595e-15,8.824654375704397e-15,8.016981410212234e-15,6.662801987235226e-17,6.566626107653077e-16,6.326172450047174e-15,0.0025252328205651754,3.491899785939149e-14,0.015904583229593563,2.7404327129502343e-14,0.015153425791189496,2.0234693727331705e-14,2.1013033096868513e-14,0.009629023768033176,9.152058714623862e-15,2.3384470449630116e-15
2021-09-02,max_sharpe_sentiment_shock,5.866621792182512e-14,6.210660054863012e-14,5.226551358606185e-14,5.334416672618882e-14,4.7661614501086096e-14,2.802581265258273e-15,4.7623229509194646e-14,1.758978814620516e-14,1.0356767117595218e-15,0.0059692236369983595,2.953000948339753e-14,5.756143796744165e-15,8.043821288665278e-15,9.81884854529786e-15,4.0682886872076595e-15,1.8041053453549555e-14,6.156348344632849e-15,0.07714423448226063,3.987411378647753e-14,0.06997294994398068,4.3562207911041834e-14,0.182462815454446,2.0802189693337895e-15,2.341962881163554e-14,1.2076484304261623e-14,1.1753191012775857e-14,0.0029956466186730197,4.8056816866961617e-14,7.602134395055828e-15,0.06399121801498779,0.0623060471857335,0.04993779303615982,2.1105579141519833e-15,0.010774525621851966,3.3171499885158097e-14,0.41470267772490754,9.817051319694021e-16,3.808562766143934e-14,4.4969768147809014e-14,6.416399039600767e-15,4.760948692100901e-14,2.9023661378382503e-15,2.2193978928505096e-14,3.310146239240236e-14,1.571459964459889e-14,2.620041603261453e-15,4.976424253977928e-15,6.391725803193914e-15,1.5560983899496948e-14,1.678759324840526e-15,0.028659142014459116,3.1805173199195245e-14,0.015816157060812297,2.4071644302124156e-14,0.015267569203626909,2.9211625964478294e-14,2.0779856164424344e-14,8.367236807570932e-14,1.2521298782758935e-14,8.917604367717122e-15
2021-10-04,max_sharpe_sentiment_shock,0.012522218928211773,5.867204966147663e-14,4.292197160305671e-14,3.0512837204445075e-14,4.189994564312591e-14,0.0,5.064524724035635e-14,0.0,0.0,5.591365052746369e-14,0.0,0.0,0.0,1.4946419294482066e-14,0.0,0.0,0.0,4.400529351601833e-14,7.374236372648327e-14,0.11916104706436383,5.611267224474312e-14,9.429585076571713e-15,0.0,1.3770551591717227e-14,1.44050446887127e-14,3.887985887090542e-14,0.23988501897891712,3.897631751128867e-14,0.0,1.1819506785941046e-14,0.002563337558217881,0.061646679462578347,0.0,0.06783958897902584,4.641442219042023e-14,0.41644937478204336,0.0,2.7327617572308248e-14,1.0903993277499834e-13,0.0,3.168326106525273e-14,4.0392312352787047e-16,1.8106528375097124e-14,4.082087038891886e-14,9.0283830480438e-15,8.956502402224757e-15,0.0,0.01058947294796813,1.6788592126393583e-14,5.34062484247462e-15,0.04011620737666467,0.0,0.015182679783029602,0.0,0.014044374138051815,1.7123520579078848e-14,0.0,0.0,0.0,0.0
2021-11-02,max_sharpe_sentiment_shock,0.0,0.07543029745370534,0.0,0.0,0.028559379544741227,0.0,0.0,5.093674194950426e-14,1.4326125636786576e-14,0.0,0.0,0.015442437095334254,3.588694044215361e-15,0.0,1.0220316338511551e-14,0.0,4.271593071863085e-14,0.0,0.021165668434022445,0.0,0.0,0.17016204500043586,1.9260415045371025e-14,0.0,0.0,0.05324031040467415,0.002722261121784342,0.0,1.9055201950005933e-14,0.0,0.0,0.0832017916887706,0.0,0.05083508956983293,0.035159640718865265,0.32521815779149676,6.497472879776128e-14,0.0,0.0,9.50557184056689e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.3472168136019275e-14,0.10398520087124084,0.0,0.0,0.03196880816279226,1.7516215950731794e-13,0.0,9.11303319688308e-14,0.0029089121415627316,0.0,5.3810774774433446e-14,1.0175436099893482e-13,4.6251852232276e-14,2.483879527568953e-14
2021-12-02,max_sharpe_sentiment_shock,2.9696835930481517e-14,0.011693971511152812,1.6102647767317542e-14,2.5314351798185986e-14,1.0809228982940082e-14,3.751958406637324e-15,1.1705292627173546e-14,2.147357775805303e-14,5.85049712455764e-16,1.636025390857011e-14,1.58828764145297e-15,0.07098351614008103,2.8454266286900807e-14,1.0293795029908657e-14,8.473907612338772e-15,2.8168870349669338e-15,1.3172828461171737e-14,3.604258681957432e-14,1.7458365472074097e-14,1.2655740202083121e-14,0.06679235760968599,0.10891668347753303,4.6291480735851885e-15,1.6495617843263495e-14,2.526228836781758e-14,2.06504137503959e-14,3.1813818093168593e-14,2.556413642152011e-14,4.6548347057506594e-15,1.503313083369475e-14,0.02612441754771642,0.11520392538158175,1.7698628560043713e-14,1.9437929006876564e-14,0.06628190439020473,0.3781681345526892,8.705450838623133e-15,1.2174520924978112e-14,0.035693438254468614,5.860785869820882e-15,2.1619325950519093e-14,1.0871954489459634e-14,1.8823754141909007e-14,2.125889036128602e-15,1.724829897494569e-14,2.258698071945572e-14,1.0822195561913646e-14,0.056598603183221886,1.2390019247644616e-15,0.03190345202283617,0.02831048769386277,6.163428987957226e-14,4.589543092380248e-15,3.4791011050184185e-14,0.0033291082341234514,5.066918719067047e-14,2.818187163152084e-14,7.278950969460038e-15,2.7097733630958477e-14,4.779782921032138e-14
2022-01-03,max_sharpe_sentiment_shock,0.0,0.06185095054196136,2.1537243513747368e-13,0.0,1.5464034187962823e-14,3.3164212291887603e-14,0.0,2.7982491306559557e-13,9.103805265649206e-14,0.0,8.408437570245178e-14,0.10288407943516763,0.0,0.0,7.042348453767036e-14,2.00156638806533e-13,2.2887814228153496e-13,0.0,5.362615289297344e-14,4.983813700926301e-14,0.11230064423009666,0.0,9.629992010951592e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09679359823589619,0.09285391756436336,0.0,0.0,0.09411861808700012,0.3656819072379296,2.1491806831879508e-13,1.5973963892447316e-14,0.025445054334200044,1.440671400030353e-13,0.0,0.0,2.338927355680861e-13,1.3805728318817923e-13,0.0,0.0,1.726719781387822e-13,0.02721552710989727,0.0,0.0,0.012627359142755668,6.107236668238707e-13,1.4469279216245492e-13,1.2773124360104576e-13,0.008228344077055342,0.0,4.557082892587249e-13,0.0,0.0,0.0
2022-02-02,max_sharpe_sentiment_shock,0.10624132589042333,0.0,0.0,0.0,0.0,0.0,0.0,1.7051072121030085e-14,1.0830267705694893e-14,0.0,2.42365341126129e-15,0.16436843078785485,0.0,0.0,1.4071411938144031e-14,1.6725223569132974e-14,1.421992558180854e-14,0.0,0.0,9.481887422184287e-15,0.0,1.889734103453662e-15,1.1318460870632334e-14,0.0,9.655407597526996e-16,0.0,0.0,0.0,0.0,0.0,0.07021848312697908,0.05545923507933475,0.0,2.219676459454533e-14,0.032262092211773875,0.4855475774406152,1.521853396411747e-15,0.0,0.0,1.252588230958951e-14,0.0,3.669977911013354e-15,1.7015660918897704e-14,0.0,0.015254220956027935,2.610650470559955e-15,4.7816261140223815e-15,0.052784674310380114,0.0,0.0,1.923166802636296e-15,3.559222981852644e-14,2.362791882312913e-14,7.673645738285126e-15,0.017863960196282967,9.080234881070037e-15,3.1027083171081725e-14,0.0,5.552302357170413e-14,0.0
2022-03-04,max_sharpe_sentiment_shock,0.19535932119036895,4.870835780811847e-16,2.09442316970122e-15,0.02800069787604297,0.0,1.8878111294627696e-16,7.034314298019525e-16,4.1115537749495233e-16,1.843493951314601e-15,0.0,0.0,0.121304793543455,0.00037701454873214133,3.407785283091545e-15,0.0,0.0,0.0,1.444722094933462e-15,0.0,1.0384991750082274e-16,2.937929926760888e-15,0.0,1.0014036862632844e-15,1.3943368021856717e-15,3.4258030883959803e-15,2.9137338494018903e-16,0.0,1.1389889718532624e-15,0.027930581891584243,0.0,0.09561018776017942,0.05484539685678646,0.0,0.0,0.03459564713532784,0.4234125564206195,9.008753998067975e-16,0.0,0.0,9.490417913508507e-16,6.956414574849547e-16,1.4860488208867824e-15,0.0,2.8031673659637766e-16,1.5605587238264068e-15,1.647586744464501e-15,1.16255314243128e-15,1.7223394428881693e-15,7.092719629941002e-16,0.0,0.0,0.0,0.0,2.0720048368614608e-16,0.018563802776864476,3.7197991161921175e-16,1.0843838288391494e-15,0.0,0.0,5.328068109833576e-15
2022-04-04,max_sharpe_sentiment_shock,0.3445000038389673,1.5613937160706075e-13,4.1222354026655035e-14,3.007793393035286e-13,2.0000432153457335e-13,9.74627920236014e-14,1.5483457105225437e-13,0.0,3.982524594037755e-14,1.555645419096608e-13,5.4444060796102586e-14,0.07406101129086165,0.06880039760799245,2.583320592186283e-13,0.0,5.7766744903026016e-15,0.0,2.9475868266942193e-13,1.464407077135043e-13,0.0,1.567876379802738e-13,6.576521235894508e-14,0.0,2.2361380916020478e-13,0.0,2.4583733904471205e-13,9.818318672064354e-14,3.431034185444462e-13,0.05075853213920521,1.1428487430060782e-13,0.025141452418035642,0.041659683710174415,1.9293584991913046e-13,0.02295237968249523,0.06685645260080161,0.29101152759285226,4.959076451133622e-14,1.3393863935218883e-14,1.3806349854167707e-13,9.576145138214266e-14,3.1144993955375917e-13,5.3794580015016655e-14,1.0516531843272088e-13,1.6544914883701885e-13,1.8347395544289352e-13,5.070294996073644e-15,8.485676403431684e-14,1.4930998768516162e-13,2.286367544411349e-13,1.6810050508029843e-13,0.0,0.0,0.0,0.0,0.014258559113515968,0.0,0.0,0.0,0.0,0.0
